event_id,event_code,frp_mean,frp_max,confidence_mean,brightness_temp_mean,facility_distance_m,facilities_within_1km,facilities_within_5km,industrial_ratio,forest_ratio,agriculture_ratio,builtup_ratio,detection_count,event_duration_hours,recurrence_frequency,persistence,persistence_score
1,EVENT-0001,6.28,6.28,0.75,329.59,84661.99245047064,0,0,,,,,1,0.0,0,TEMPORARY,0
2,EVENT-0002,0.69,0.69,0.75,302.42,109594.76048537044,0,0,,,,,1,0.0,0,TEMPORARY,0
3,EVENT-0003,2.47,2.47,0.75,309.32,22688.633707277095,0,0,,,,,1,0.0,0,TEMPORARY,0
4,EVENT-0004,1.1,1.1,0.75,309.81,25101.43929089159,0,0,,,,,1,0.0,0,TEMPORARY,0
5,EVENT-0005,7.585,13.66,0.75,320.70666666666665,124810.55490588569,0,0,,,,,6,23.683333333333334,0,RECURRING,50
6,EVENT-0006,0.92,0.92,0.75,307.03,22389.98731866775,0,0,,,,,1,0.0,0,TEMPORARY,0
7,EVENT-0007,1.9449999999999998,2.32,0.75,302.53,71378.58514696441,0,0,,,,,2,0.0,0,TEMPORARY,0
8,EVENT-0008,2.47,2.47,0.75,301.97,68049.89082659574,0,0,,,,,1,0.0,0,TEMPORARY,0
